filename	subfolder	en	am	artist
BG-0006.png	BenishangulGumuz	woman,women,onions,Ethiopia,BenishangulGumuz		Senait Worku
BG-0007.png	BenishangulGumuz	woman,livestock,feeding,watering,goats,cows,Ethiopia,BenishangulGumuz		Senait Worku
BG-0008.png	BenishangulGumuz	farm,field,crops,growing		Senait Worku
BG-0009.png	BenishangulGumuz	woman,women,market,buying,selling,onions,Ethiopia,BenishangulGumuz		Senait Worku
BM-0001.png	BenchMaji	woman,child,pouch,Ethiopia,BenchMaji		Senait Worku
BM-0002.png	BenchMaji	celebration,drum,chant,Ethiopia,BenchMaji		Senait Worku
BM-0003.png	BenchMaji	children,rain,shelter,Ethiopia,BenchMaji		Senait Worku
BM-0004.png	BenchMaji	children,Ethiopia,BenchMaji		Senait Worku
BM-0005.png	BenchMaji	mother,child,walking,village,road,Ethiopia,BenchMaji		Senait Worku
BM-0006.png	BenchMaji	accident,motorcycle,traffic,hurt,injury,Ethiopia,BenchMaji		Senait Worku
BM-0007.png	BenchMaji	pot,pottery,buy,sell,Ethiopia,BenchMaji		Senait Worku
BM-0008.png	BenchMaji	injury,bleeding,leg,friend,hurt,Ethiopia,BenchMaji		Senait Worku
BM-0009.png	BenchMaji	animals,domestic,cat,cow,goat,hen,Ethiopia,BenchMaji		Senait Worku
BM-0010.png	BenchMaji	animals,wild,lion,leopard,hyena,fox,Ethiopia,Benchmaji		Senait Worku
Borna-0001.png	BenishangulGumuz	women,spinning,thread,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0002.png	BenishangulGumuz	women,talking,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0003.png	BenishangulGumuz	women,spinning,thread,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0004.png	BenishangulGumuz	man,woman,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0005.png	BenishangulGumuz	man,clothes,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0006.png	BenishangulGumuz	woman,livestock,shepherd,goats,cows,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0007.png	BenishangulGumuz	women,conference,talking,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0008.png	BenishangulGumuz	women,grinding,flour,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0009.png	BenishangulGumuz	women,sitting,talking,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0010.png	BenishangulGumuz	woman,bath,hygiene,childcare,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0011.png	BenishangulGumuz	children,playing,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0012.png	BenishangulGumuz	woman,spinning,thread,children,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0013.png	BenishangulGumuz	woman,sick,children,hospital,doctor,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0014.png	BenishangulGumuz	women,sitting,talking,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0015.png	BenishangulGumuz	woman,children,family,eating,meal,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0016.png	BenishangulGumuz	children,playing,ball,sport,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0017.png	BenishangulGumuz	village,houses,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0018.png	BenishangulGumuz	village,houses,river,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0019.png	BenishangulGumuz	men,fence,building,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0020.png	BenishangulGumuz	cleaning,garbage,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0021.png	BenishangulGumuz	cleaning,garbage,village,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
Borna-0022.png	BenishangulGumuz	women,cows,Ethiopia,Borna,Shinasha,BenishangulGumuz		Senait Worku
